source,time,person,location,organization,miscellaneous
americablog,2009-03-01T00:00:00,paul ryan|this week|rush|stephen harper|robert gates|martin wolf|george s.|kim jong-il|mike mullen|eric cantor|peter orszag|jon kyl|rahm emanuel|limbaugh|fareed zakaria,canada|afghanistan|iraq,abc|nation â€ù|press|financial times|fox news sunday â€ù _ joint chiefs|cnn|staff chairman|union â€ù â€” joint chiefs|cbs â€™|nbc â€™s|gop|house republican whip|office of management,repubs|islam|ap|islamic
americablog,2009-03-01T00:00:00,madikizela-mandela|kgalema motlanthe|winnie madikizela-mandela|nelson mandela|baleka mbete|trevor manuel|jacob zuma,south africa|winnie mandela,african national congress|us nixon|anc,mandela|south african
americablog,2009-05-01T00:00:00,dan savage|rex wockner|greta ?,california,mensa|national organization for marriage,miss c|miss california|miss
americablog,2009-06-01T00:00:00,michael moore,mexico,maginot line,romans|german|french|japanese
americablog,2009-07-01T00:00:00,malden|karl malden|omar bradley,gary|patton|ind.,academy of motion picture arts & sciences,brentwood|academy award-winning|brando|serbian|czech
americablog,2009-07-01T00:00:00,maria belen chapur|mark sanford|harvey peeler|martin|sanford|larry martin,new york|south carolina,general assembly|senate republican caucus|senate republicans|associated press|state â€ù|senate rules,argentinian|state
americablog,2009-08-01T00:00:00,via haartez|eytan fox|nitzan horowitz,israel|tel aviv,nahmani street|jagger â€ù|â€œ yossi,bubble|israeli|haâ€™agudah
americablog,2009-08-01T00:00:00,jonathan campos|provost|campos|august provost,houston|lancaster|camp pendleton,navy,u.s. navy
americablog,2009-08-01T00:00:00,richard malone|silk|justin phillips|robbie jones|carlos|jeffrey lax|mark silk|b.f. carlos,maine|columbia|toronto|california|new york,rhode island|â€™s washington post,catholics|trinity|american political science review
americablog,2009-11-01T00:00:00,pat|arlen specter|limbaugh|rush limbaugh|robert casey|hamid karzai|pat buchanan|beck|snowe,afghanistan|pennsylvania,st. louis rams|â€œ star wars|wind â€ù|red state,nixon
americablog,2009-12-01T00:00:00,karzai|roosevelt|qaeda|walter reed|god bless|hamid karzai|osama bin laden|barack obama,amman|guantanamo bay|karachi|south waziristan|yemen|pakistan|dover|president eisenhower|bali|islamabad|west point|somalia|afghanistan|governors|vietnam|iraq|soviet union|london|franklin roosevelt|cadets|earth|west|swat,pakistanunited states military academy|taliban|deliverythe way forward|peace corps|taliban â€™s|security forces|afghan security forces|un|nato|great depression|muslim world|general mcchrystal â€“|taliban â€“|north atlantic treaty organization invoked article|international security assistance force|united nations security council|pakistani army|united nations|world bank,afghans|pakistanis|pakistani|afghan|soviet|iraqis
americablog,2010-01-01T00:00:00,elizabeth murchison,tasmania,australian national university,tasmanian
americablog,2010-01-01T00:00:00,camping,seventeen,heaven,christ
americablog,2010-02-01T00:00:00,ask don|secretary gates|don â€™|phyllis schafly|george casey|barack obama,army|pentagon|the pentagon|iraq,state of the union|doma|dod|enda|ofa|dadt,hill
americablog,2010-04-01T00:00:00,geoffrey palmer,japan|new zealand,international whaling commission,japanese
americablog,2010-04-01T00:00:00,vaughn walker|george w. bush|walker,san francisco,al-haramain islamic foundation,islamic
americablog,2010-04-01T00:00:00,marisa mcnee,california|palo alto,gunn high school,phelps
americablog,2010-05-01T00:00:00,maxim,amsterdam|romania,â€œ apocalypse,romanian|dutch
americablog,2010-05-01T00:00:00,messina|chairman|robert gates|jim messina|winnie stachelberg|gates|mike mullen|joe solmonese|ike skelton|don â€™|solmonese,hrc|dadt,military readiness enhancement act|commander-in-chief|secretary|joint chiefs of staff admiral|center|senate armed services committee|pentagon|state of the union|american progress|pentagon working group|center for american progress|secretary of defense|the president|department of defense authorization|jehovah â€™s witness|house armed services committee|human rights campaign,national defense authorization|common purpose
americablog,2010-05-01T00:00:00,robert rubin|jacob weisberg|hamilton project|weisberg|dan froomkin|rubin|chris dodd,wall street,washington post co.|citigroup|center for american progress|citigroup â€”,huffington post
americablog,2010-06-01T00:00:00,roy halladay|paul|â€™s obama|rand paul,russia|kentucky,meet the press|nbc â€™s|gop senate|nbc news|gop|sestak|civil rights act,british|un-american|anti-american
americablog,2010-06-01T00:00:00,li daokui,china,tsinghua university,chinese
americablog,2010-06-01T00:00:00,kirk|brian beutler|mark kirk,afghanistan|navy,gop|u.s. senate,operation iraqi freedom
americablog,2010-07-01T00:00:00,louise|dermot ahern,ireland|dublin|county galway|catholic ireland,bill|papal encyclicals|irish supreme court justices|civil partnership bill|irish parliament|the bill|university college galway,catholic|dÃ¡il|irish|bishops
americablog,2010-07-01T00:00:00,nelson mandela|george bush|bill clinton|blair|tony blair,gaza|northern ireland|philadelphia|iraq|middle east,national constitution centre|liberty medal,israeli
americablog,2010-07-01T00:00:00,esman|wheelan|marjorie esman|andrew wheelan|mother jones|lafourche parish,louisiana,terrebonne parish sheriff â€™s office|bp|first amendment|the aclu|pdf|aclu,u.s. constitution
americablog,2010-07-01T00:00:00,pam spaulding|kerry eleveld|jen colletta|lisa keen|jim messina|pam|paul schindler|rahm emanuel|jillian weiss|melody barnes|don â€™|chris geidner|barnes|[ hill,bilerico|roosevelt room|washington blade|capitol hill|advocate|the president|west wing,department of war suite|dadt|lgbt|ca prop|gay city news|doma|lou chibarro|hate crimes|old executive office building|enda|keen news service|philadelphia gay news,defense|petey
americablog,2010-08-01T00:00:00,paul krugman|taka ito|robert mcteer,japan,forbes|financial times|federal reserve|bureau of economic analysis,japanese
americablog,2010-09-01T00:00:00,horton|â€œ obama|david kris|steven kim|david woo|scott horton|marty lederman|ruth wedgwood|george w. bush|kris|lederman,north korea,nsa|no comment|fox news|bush justice|obama doj|fisa|foreign intelligence surveillance act|state dept.|usa patriot act|time warner|patriot act|bush doj|associate deputy attorney general|doj,north korean|embed
americablog,2010-09-01T00:00:00,sarah palin|wright state|glenn beck|state|chase|beck|erick,ohio|new left|dayton|web|right state,daily caller|whiteside|new left media|teabaggers,teabagger
americablog,2010-10-01T00:00:00,john boehner|kerry eleveld|barack obama,wis.|advocate|madison,gop,dems
americablog,2010-11-01T00:00:00,simon johnson|karl rove|larry summers|nouriel roubini|joseph stiglitz|elizabeth warren|paul krugman|tim geithner|hank paulson|christina romer|newt gingrich|robert kuttner,japan|huffington post|wall street,congressional oversight panel,roosevelt
americablog,2010-12-01T00:00:00,elijah wood|daphne guinness|serena williams|jay sean|alicia keys|keys|lady gaga|p. diddy|bronson pelletier|ryan seacrest|khloe kardashian|jennifer hudson|kim kardashian|justin timberlake|usher|janelle monae|david lachapelle|david robinson|tim rondeau|kimberly cole|swizz beatz,dallas|india|africa,aids|the buried life,world aids day|world aids
americablog,2010-12-01T00:00:00,joe klein|klein,pakistan|afghanistan|yemen|iraq,interpol|u.s. government|â€œ assange|wikileaks,afghans|government
americablog,2011-01-01T00:00:00,years eve|chicken littles|eve|gay|don â€™|amos,oklahoma|dallas|texas,ask don|general amos|grill|jr|university of oklahoma|jr â€™s bar,u.s. constitution|native american
americablog,2011-02-01T00:00:00,hilton|david bahati|getequal|david kato|michael dixon|brenda namigadde,uganda|uk|connecticut avenue|judiciary,national gay and lesbian task force|breakfast|breakfast without bigotry|gays|â€œ kill|lgbt|family â€ù|family â€™|soulforce|supreme court justices|bigotry|unitarian universalist association|washington hilton|washington hilton hotel|republican members|national prayer breakfast,family|ugandan
americablog,2011-02-01T00:00:00,nate silver|mubarak,egypt,the president,egyptians
americablog,2011-02-01T00:00:00,evan wolfson|darlene maffett|evan|cindy|valerie williams|gay|darlene|bob barr|luke|bill clinton,jacksonville|st. luke|florida|fla.|massachusetts,freedom|golden rule|williams institute|new york times|maffetts|social security|department of justice|williams â€™ and maffetts|huffington post|doma|valerie|â€œ defense of marriage act|marry,african americans|south
americablog,2011-03-01T00:00:00,george h.w. bush|pusey minister|peter j. gomes|gomes|alan colmes,memorial church|massachusetts,plummer professor of christian morals|harvard university|presidents reagan|harvard,new yorker|american life|nyt|bible|english
americablog,2011-03-01T00:00:00,mike huckabee|now huck|huckabee,indonesia|kenya,gop|daily dish,kenyan
americablog,2011-03-01T00:00:00,mike huckabee|huckabee|obviously obama|steve malzberg show,indonesia|kenya,obama â€™s|mau mau revolution|fox news|the right,british|birther|kenyan|brits
americablog,2011-03-01T00:00:00,sarah palin|jerry springer-ization|bristol palin|william morrow|murphy brown|morrow,alaska|gop,not afraid of life|bristol|harpercollins,stars
americablog,2011-03-01T00:00:00,steve|mike huckabee|huckabee|obviously obama|steve malzberg show,huckabirtherism|kenya,mau mau revolution|fox news,british|birther|clintons|kenyan|brits
